id;code;name;description
1;M;Messier catalogue;Catalog of Nebulae and Star Clusters (Messier object)
2;NGC;New General Catalogue
3;IC;Index Catalogue
4;Abell;Abell catalogue of planetary nebula + galaxies
5;HCG;Hickson Compact Groups
6;Sh2;Sharpless catalogue of HII regions
7;B;Barnard catalogue
8;Cr;Collinder's catalog of open clusters
9;PK;Perek-Kohoutek catalogue
11;Stock;Stock open clusters
12;UGC;Uppsala General Catalogue
13;Mel;Melotte Catalogue of open star clusters
14;LDN;Lynds' Catalogue of Dark Nebulae
15;VIC;Vic catalogue of asterisms
16;PGC;The Catalogue of Principal Galaxies
17;PNG;Strasbourg-ESO Catalogue of Galactic Planetary Nebulae[
18;Ru;Jaroslav Ruprecht (open star clusters)
19;King;Ivan R. King (open star clusters)
20;Czernik;open star clusters
21;vdB;Van den Bergh
22;LBN; Lynds' Catalogue of Bright Nebulae
23;Berk;Berkeley (open star clusters) (104 items)
24;Do;Dolidze (open star clusters) (57 items)
25;Tr;Robert Julius Trumpler's open cluster list, published in Preliminary results on the distances, dimensions and space distribution of open star clusters
26;Pismis;catalogue of 22 open star clusters and 2 globular star clusters
27;Haffner;Haffner (open star clusters)
28;Hogg;Hogg (open star clusters)
29;Basel;open star clusters
30;Bochum;Bochum (open star clusters)
31;Lynga;Lynga (open star clusters)
32;Pal;Palomar catalogue
33;Ced;Cederblad (gaseous nebula)
34;DoDz;Dolidze-Dzimselejsvili (open star clusters) (11 items)
35;Biur;Biurakan (open star clusters)
36;Gum;Gum catalog of emission nebulae
37;RCW;Rodgers-Campbell-Whiteoak A catalogue of Hα-emission regions in the southern Milky Way
38;Harvard;Harvard (open star clusters)
39;SL;Sandqvist-Lindroos (dark nebulae)
40;Roslund;Curt Roslund (open star clusters)
41;Terzan;Agop Terzan Catalogue of Globular Star Clusters (11 objects)
42;Be;Bergvall (catalogue of some 400 interacting and distorted galaxies found on glass copies of the ESO Blue Survey
43;Ter;Agop Terzan Catalogue of Globular Star Clusters (11 objects)
44;Tombaugh;Tombaugh (open star clusters)
45;Arp;Atlas of Peculiar Galaxies
46;Sa;Sanduleak (planetary nebulae)
47;vdBH;Van den Bergh-Herbst (open star clusters)
48;vdB-Ha;Van den Bergh-Hagen (open star clusters)
49;Kemble;Father Lucian Kemble (asterisms which could be observed through binoculars)
50;Mrk;Benjamin "Benik" Egishevitch Markarian (open star clusters)
51;Antalova;open star clusters
52;Djorgovski;Stanislav George Djorgovski (globular star clusters)
53;Bark;Barkhatova (open star clusters) (for example: Barkhatova 1, NNW of NGC 7000; the North America Nebula in Cygnus)
54;Danks;open star clusters
55;Mayer;open star clusters
56;UKS;United Kingdom Schmidt (globular star clusters)
57;Mi;Minkowski

1000;Ap;
1001;Apriamasvili;
1002;Archinal;probably Brent A. Archinal (for example: open star cluster Archinal 1 at 18:54:49 / +5°32'54")
1003;Auner;
1004;Baade;planetary nebulae
1005;BH;Van den Bergh / Hagen (open star clusters), see also VdB-Ha
1006;Bl;??
1007;Blanco;Victor Manuel Blanco (for example: open star cluster Blanco 1 in Sculptor)
1008;BlDz;??
1009;BV;Bohm-Vitense (planetary nebulae)
1010;Cannon;Cannon (planetary nebulae) (Cn1 / Cn2 / Cn3)
1011;Cn;Cannon (planetary nebulae) (Cn1 / Cn2 / Cn3)
1012;CRL;Cambridge Research Laboratory Sky-Survey
1013;CTB;??
1014;DdDm;??
1015;DeHt;Dengel-Hartl (planetary nebulae)
1016;DHW;Dengel-Hartl-Weinberger (planetary nebulae)
1017;DWB;Dickel, Wendker, Bieritz (A catalogue of optically visible HII regions in the Cygnus X region)
1018;E;(for example: globular star cluster E 3 at 9:20:59 / -77°16'57", in Chamaeleon) (source: Bruno Alessi's and Wilton Dias's lists)
1019;EGB;Egbert (double stars)
1020;ESO;European Southern Observatory Catalog
1021;Fein;Feinstein (open star clusters)
1022;Fleming;Fleming (planetary nebulae)
1023;Frolov;Frolov (open star clusters)
1024;GAL;??
1025;GN;??
1026;Graham;(for example: open star cluster Graham 1 at 10:56:32 / -63:01:04)
1027;Grindlay;globular star clusters
1028;GUM;Gum catalog of emission nebulae
1029;H;??
1030;Haro;Haro (planetary nebulae)
1031;HBDS;??
1032;HDW;Hartl-Dengel-Weinberger (planetary nebulae)
1033;He;Hamburg/ESO Survey
1034;HFG;Heckathorn-Fesen-Gull
1035;HH;Herbig-Haro objects
1036;Hoffleit;Hoffleit (planetary nebulae)
1037;HP;Haute Provence (globular star clusters)
1038;HR; Bright Star Catalogue
1039;HtDe;Hartl-Dengel (planetary nebulae)
1040;HtTr;Hartl-Tritton (planetary nebulae)
1041;Hu;Humason (planetary nebulae)
1042;Hubble;Hubble Source Catalog (lists of sources from the Hubble Space Telescope)
1043;IRAS; IRAS (planetary nebulae)
1044;IsWe;Ishida Weinberger (planetary nebulae)
1045;IVZw;?
1046;J;Robert Jonckheere's catalogue of double star observations
1047;JaSt;Jacoby+van de Steene (planetary nebulae) 
1048;Jones;Jones (planetary nebulae)
1049;K;Lubos Kohoutek (planetary nebulae)
1050;KLSS;Kerber+Lercher+Saurer+Seeberger (planetary nebulae)
1051;Kr;?
1052;Latysev;open star clusters
1053;LeGentil;dark nebula
1054;Liller;globular star clusters
1055;Lo;?? (PN)
1056;Loden;open star clusters
1057;Longmore;Longmore
1058;LoTr;Longmore-Tritton (planetary nebulae)
1059;MaC;??
1060;MaffeiPaolo Maffei (for example: galaxies Maffei 1 and Maffei 2 in Cassiopeia);
1061;Markarian;?
1062;Mayall;Mayall-Cannon (planetary nebulae)
1063;Menzel;planetary nebulae
1064;Merrill;Merrill (planetary nebulae)
1065;MK;??
1066;Moffat;open star clusters
1067;Nassau;planetary nebulae
1068;Ns;??
1069;OCL;??
1070;PB;Peimbert-Batiz (planetary nebulae)
